URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
app.ecoschools.us/96Z419,No,No,Tagged
artemis.nwf.org/2018/01/artemis-works-with-western-sportsmen-to-highlight-importance-of-national-monuments/,No,No,Not tagged
artemis.nwf.org/event/artemis-virtual-happy-hour-competitive-women-anglers/,No,No,Not tagged
artemis.nwf.org/events/2025-05-17/,No,No,Not tagged
artemis.nwf.org/taylor-morton/,No,No,Tagged
blog.nwf.org/archive/page/694/,No,No,Not tagged
blog.nwf.org/author/admin/page/37/,No,No,Not tagged
blog.nwf.org/author/admin/page/38/,No,No,Not tagged
blog.nwf.org/author/senserk/page/2/,No,No,Not tagged
blog.nwf.org/post_tag-sitemap2.xml,No,No,Not tagged
blog.nwf.org/tags/birds/page/15/,No,No,Not tagged
blog.nwf.org/tags/fish/page/8/,No,No,Not tagged
blog.nwf.org/tags/leed-certification/,No,No,Not tagged
blog.nwf.org/tags/mississippi-river-delta/page/3/,No,No,Not tagged
blog.nwf.org/tags/outdoors/page/14/,No,No,Not tagged
blog.nwf.org/tags/photo-contest/page/4/,No,No,Not tagged
blog.nwf.org/tags/water/page/7/,No,No,Not tagged
blog.nwf.org/tags/wildlife/page/83/,No,No,Not tagged
blog.nwf.org/taxonomy-author-sitemap.xml,No,No,Not tagged
blog.nwf.org/topics/conservation/page/300/,No,No,Not tagged
campusracetozerowaste.org/forum/history/kentd/,No,No,Not tagged
certifiedwildlifehabitat.nwf.org/Habitats/Bundles/543265,No,No,Not tagged
certifiedwildlifehabitat.nwf.org/Habitats/Elements/292752,No,No,Not tagged
certifiedwildlifehabitat.nwf.org/Habitats/Elements/494905,No,No,Not tagged
cms3.nwf.org/sitecore/shell/Applications/Content%20Editor.aspx,No,No,Not tagged
editiondigital.net/,No,No,Not tagged
editiondigital.net/html5_viewer/index.html,No,No,Not tagged
editiondigital.net/view/national-wildlife-federation/nwf-magazine,No,No,Not tagged
fundingnaturebasedsolutions.nwf.org/wp-login.php,No,No,Not tagged
gfwphotocontest.nwf.org/common/fileuploads/2025GFWPCRules.pdf,No,No,Not tagged
gfwphotocontest.nwf.org/gallery-home-vt.aspx,No,No,Not tagged
glbusinessnetwork.com/2022/03/great-lakes-business-network-files-amicus-brief-supporting-michigan-in-line-5-dispute/,No,No,Not tagged
glbusinessnetwork.com/2023/03/great-lakes-business-leaders-react-to-further-line-5-tunnel-delay-and-news-of-canadian-great-lakes-funding/glbn-press-release-line-5-acoe-delay_march-24-2023/,No,No,Not tagged
growingoutreach.nwf.org/event/virtual-grow-more-training-missouri-focused/,No,No,Tagged
